oa_code,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S92000003,"4,379,072","1,549,492","1,981,516","7,150","140,954","359,704","340,256"
S00088956,159,38,105,-,1,9,6
S00088957,58,17,31,-,-,7,3
S00088958,60,9,42,-,-,6,3
S00088959,63,11,47,-,-,4,1
S00088960,55,9,44,-,1,1,-
S00088961,184,112,55,-,2,6,9
S00088962,59,15,38,-,-,3,3
S00088963,68,22,40,-,-,4,2
S00088964,74,18,48,2,3,-,3
S00088965,119,32,69,-,1,5,12
S00088966,93,33,47,-,1,6,6
S00088967,48,18,24,-,-,3,3
S00088968,48,10,36,-,-,2,-
S00088969,126,36,73,-,5,7,5
S00088970,94,35,48,-,3,6,2
S00088971,65,31,26,-,3,3,2
S00088972,119,77,27,-,3,9,3
S00088973,124,34,60,-,4,14,12
S00088974,104,56,24,-,2,19,3
S00088975,67,40,16,-,5,6,-
S00088976,67,49,11,-,4,3,-
S00088977,60,51,3,-,1,5,-
S00088978,55,39,12,-,-,2,2
S00088979,81,60,14,-,2,4,1
S00088980,65,49,9,-,2,3,2
S00088981,55,38,4,-,2,8,3
S00088982,65,38,19,-,1,3,4
S00088983,62,20,13,-,4,17,8
S00088984,55,28,11,-,1,11,4
S00088985,76,54,14,-,2,5,1
S00088986,130,110,14,-,2,4,-
S00088987,63,49,7,-,4,3,-
S00088988,63,46,6,-,3,7,1
S00088989,87,65,20,-,-,2,-
S00088990,103,77,12,-,6,8,-
S00088991,120,99,18,-,1,1,1
S00088992,538,471,26,-,-,8,33
S00088993,101,67,29,-,1,4,-
S00088994,53,42,7,-,-,1,3
S00088995,60,43,14,-,2,1,-
S00088996,88,44,24,-,4,8,8
S00088997,127,40,71,-,3,6,7
S00088998,99,32,59,2,1,4,1
S00088999,102,32,61,-,-,5,4
S00089000,118,85,15,-,5,9,4
S00089001,103,33,54,-,-,5,11
S00089002,103,42,52,-,1,5,3
S00089003,106,41,40,-,-,6,19
S00089004,80,40,35,-,-,4,1
S00089005,108,24,74,-,-,10,-
S00089006,82,28,41,-,2,9,2
S00089007,107,72,27,-,1,3,4
S00089008,72,59,10,-,-,2,1
S00089009,98,67,27,-,-,4,-
S00089010,112,62,36,-,2,9,3
S00089011,145,106,22,-,1,16,-
S00089012,106,72,22,-,2,6,4
S00089013,65,44,10,-,3,7,1
S00089014,110,75,25,-,4,5,1
S00089015,88,66,18,-,1,3,-
S00089016,86,60,18,-,-,5,3
S00089017,81,52,23,-,2,4,-
S00089018,123,38,66,-,5,8,6
S00089019,121,73,34,-,3,9,2
S00089020,73,41,27,-,2,1,2
S00089021,72,35,31,2,-,2,2
S00089022,92,57,22,-,1,9,3
S00089023,87,35,36,-,4,11,1
S00089024,64,49,6,-,1,8,-
S00089025,63,51,4,-,3,3,2
S00089026,66,48,12,-,1,5,-
S00089027,104,87,6,-,4,6,1
S00089028,78,60,8,-,1,9,-
S00089029,79,61,9,-,1,6,2
S00089030,64,51,4,-,4,5,-
S00089031,127,95,15,-,5,11,1
S00089032,73,50,15,-,3,5,-
S00089033,89,56,23,1,3,5,1
S00089034,55,32,16,-,-,6,1
S00089035,96,59,19,-,2,14,2
S00089036,61,42,13,-,-,5,1
S00089037,80,60,10,-,6,3,1
S00089038,56,50,4,-,-,-,2
S00089039,73,52,17,-,1,3,-
S00089040,69,37,21,-,4,7,-
S00089041,203,63,67,-,6,15,52
S00089042,51,21,14,-,3,11,2
S00089043,106,58,29,-,2,14,3
S00089044,58,31,12,-,4,8,3
S00089045,61,19,26,-,1,8,7
S00089046,237,149,61,1,5,14,7
S00089047,97,35,48,1,2,7,4
S00089048,81,24,38,-,3,9,7
S00089049,115,43,55,-,3,6,8
S00089050,85,28,44,-,5,3,5
S00089051,131,61,50,-,7,8,5
S00089052,135,50,62,-,4,9,10
S00089053,96,54,31,-,3,6,2
S00089054,71,43,21,-,2,4,1
S00089055,85,56,10,1,6,11,1
S00089056,69,54,7,-,1,7,-
S00089057,82,50,13,-,-,16,3
S00089058,93,60,19,-,-,13,1
S00089059,54,29,13,-,2,10,-
S00089060,52,29,9,-,5,8,1
S00089061,64,35,23,-,1,3,2
S00089062,49,30,9,-,1,8,1
S00089063,73,36,29,-,1,7,-
S00089064,79,48,20,-,5,3,3
S00089065,87,55,16,-,4,11,1
S00089066,61,37,13,-,4,6,1
S00089067,92,62,22,-,2,6,-
S00089068,66,40,17,-,2,5,2
