oa_code,All households,One person household: Aged 65 and over,One person household: Aged under 65,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: With dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: With dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent: With dependent children,One family only: Lone parent: All children non-dependent,Other households: With dependent children,Other households: All full-time students,Other households: All aged 65 and over,Other households: Other
S92000003,2372777,311867,511447,178972,297398,321886,139171,117637,87647,11937,170002,93358,36954,20928,5598,67975
S00088956,74,-,3,6,9,31,3,6,4,-,4,5,2,-,-,1
S00088957,26,4,2,3,3,4,5,2,-,-,-,2,-,-,-,1
S00088958,27,1,1,-,2,15,3,1,1,-,1,1,1,-,-,-
S00088959,32,-,5,2,9,9,2,-,1,-,-,1,-,-,1,2
S00088960,23,-,-,2,9,8,3,-,-,-,-,1,-,-,-,-
S00088961,22,2,1,4,5,2,1,1,1,-,-,-,2,-,-,3
S00088962,26,2,-,1,4,9,4,-,3,-,-,1,1,-,1,-
S00088963,33,2,3,4,5,10,1,1,3,-,-,3,-,-,1,-
S00088964,33,2,1,1,10,9,6,1,1,-,1,1,-,-,-,-
S00088965,58,5,10,7,10,11,3,3,2,-,3,2,2,-,-,-
S00088966,50,4,11,2,8,8,5,5,3,-,2,-,-,1,-,1
S00088967,22,2,4,1,4,6,1,3,-,-,-,1,-,-,-,-
S00088968,21,-,1,5,4,6,3,-,1,-,-,1,-,-,-,-
S00088969,56,4,8,2,10,10,8,1,2,-,3,2,3,-,-,3
S00088970,48,1,11,3,10,10,1,4,-,1,-,3,-,2,-,2
S00088971,41,3,17,3,4,5,-,4,3,-,1,-,-,1,-,-
S00088972,75,2,40,-,5,6,2,8,-,-,2,1,-,6,-,3
S00088973,71,14,12,6,8,8,3,1,-,-,8,3,1,1,-,6
S00088974,59,4,21,2,3,3,3,2,-,-,8,8,2,1,-,2
S00088975,39,-,19,-,3,3,2,1,2,-,1,1,-,4,-,3
S00088976,45,3,21,2,1,2,-,12,-,-,-,-,-,1,-,3
S00088977,40,2,20,-,-,-,-,3,-,-,-,1,-,8,-,6
S00088978,33,3,11,-,2,1,-,4,-,-,1,-,1,6,-,4
S00088979,49,-,19,-,3,1,-,8,1,-,1,-,-,5,-,11
S00088980,45,5,21,-,2,1,-,3,-,-,-,1,-,4,-,8
S00088981,43,4,27,-,2,-,-,3,1,-,2,1,-,2,-,1
S00088982,39,4,12,-,7,1,-,4,-,-,-,3,-,2,-,6
S00088983,44,11,19,4,1,1,-,2,-,-,2,2,-,-,-,2
S00088984,44,13,21,1,3,-,1,3,-,-,-,-,-,-,-,2
S00088985,50,2,26,-,3,4,-,9,-,-,-,1,-,-,-,5
S00088986,77,-,33,-,5,-,-,16,-,-,1,-,-,11,-,11
S00088987,37,1,14,-,2,1,-,9,-,-,-,-,-,4,-,6
S00088988,57,3,47,-,2,1,-,1,2,-,1,-,-,-,-,-
S00088989,51,-,22,-,4,4,-,8,-,-,-,-,1,4,-,8
S00088990,63,1,30,-,3,1,-,10,1,-,1,1,1,4,-,10
S00088991,81,3,47,-,5,2,-,5,-,-,-,1,1,10,-,7
S00088992,72,32,26,6,3,-,-,3,-,-,1,-,-,-,1,-
S00088993,61,-,25,-,6,7,-,7,1,-,3,1,2,6,-,3
S00088994,34,-,17,-,2,-,-,2,-,-,2,1,1,5,-,4
S00088995,36,-,13,-,7,-,-,6,-,-,1,-,-,6,-,3
S00088996,41,5,5,3,2,2,1,-,1,-,5,5,2,8,-,2
S00088997,67,6,14,4,13,13,3,5,3,-,1,1,1,-,-,3
S00088998,57,1,19,-,13,15,-,3,3,-,1,-,-,1,-,1
S00088999,54,3,13,2,13,9,6,2,2,-,-,-,1,-,-,3
S00089000,89,6,55,-,4,2,-,17,-,-,-,1,1,1,-,2
S00089001,55,11,8,5,9,9,4,4,1,-,-,1,-,1,-,2
S00089002,53,4,12,3,6,15,-,4,3,-,1,-,-,-,-,5
S00089003,43,3,8,2,9,4,-,3,4,-,-,-,1,3,-,6
S00089004,51,3,21,1,7,8,1,5,2,-,-,1,-,1,-,1
S00089005,56,2,9,9,8,17,3,1,2,-,1,1,1,-,-,2
S00089006,42,2,6,1,6,11,1,8,3,-,-,1,2,-,-,1
S00089007,62,6,20,1,4,7,-,11,2,-,1,-,1,4,-,5
S00089008,48,-,24,-,4,-,-,12,-,-,1,-,-,1,-,6
S00089009,61,-,24,1,5,6,-,11,2,-,-,1,-,1,-,10
S00089010,67,3,26,3,4,8,3,11,1,-,2,1,-,2,-,3
S00089011,86,4,42,-,5,4,1,6,3,-,2,-,-,4,-,15
S00089012,61,9,19,-,5,3,1,9,1,-,-,4,-,3,-,7
S00089013,41,2,20,1,2,2,-,8,1,-,-,2,1,1,-,1
S00089014,67,-,31,-,6,5,-,5,1,-,2,1,-,5,-,11
S00089015,54,-,23,-,6,2,-,12,1,-,-,-,-,3,-,7
S00089016,54,2,25,-,5,2,2,10,-,-,1,-,-,1,-,6
S00089017,50,-,24,-,6,2,-,7,-,-,-,1,-,1,-,9
