oa_code,All people,Church of Scotland,Roman Catholic,Other Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
S92000003,"5,295,403","1,717,871","841,053","291,275","12,795","16,379","5,887","76,737","9,055","15,196","1,941,116","368,039"
S00088956,230,77,33,22,-,-,-,-,-,-,87,11
S00088957,66,30,3,7,1,-,-,3,-,-,21,1
S00088958,90,24,1,16,-,-,-,11,-,-,33,5
S00088959,83,15,7,5,-,-,-,-,-,-,46,10
S00088960,68,16,3,11,-,-,-,-,-,-,32,6
S00088961,217,38,14,54,-,-,-,1,-,2,60,48
S00088962,86,39,17,14,-,-,-,-,-,-,10,6
S00088963,89,27,4,7,-,-,-,-,-,-,42,9
S00088964,88,29,5,12,-,-,-,-,-,-,35,7
S00088965,144,55,1,7,-,-,-,-,-,-,65,16
S00088966,120,27,7,18,-,-,-,7,3,-,50,8
S00088967,52,36,1,-,-,-,-,-,-,-,14,1
S00088968,56,14,9,2,-,-,-,-,-,-,28,3
S00088969,154,58,5,2,-,-,-,8,-,1,56,24
S00088970,105,21,7,11,-,-,-,5,-,-,52,9
S00088971,78,16,8,3,-,2,-,-,-,2,43,4
S00088972,129,21,23,16,-,6,-,-,-,-,46,17
S00088973,144,32,14,8,4,2,-,8,-,1,61,14
S00088974,120,24,10,7,1,-,-,5,-,-,54,19
S00088975,77,6,10,10,-,-,-,1,-,-,47,3
S00088976,69,7,12,8,-,-,-,1,-,-,38,3
S00088977,60,2,-,4,1,4,-,4,-,-,43,2
S00088978,60,3,4,3,-,-,-,2,-,1,37,10
S00088979,85,7,13,9,1,4,-,1,-,1,43,6
S00088980,66,9,7,6,-,1,-,3,-,1,34,5
S00088981,57,3,9,3,1,-,-,1,-,1,34,5
S00088982,66,8,17,2,-,-,-,1,-,-,37,1
S00088983,65,23,5,4,-,1,-,-,-,-,26,6
S00088984,55,20,5,3,-,-,-,1,-,2,21,3
S00088985,80,6,13,10,-,-,-,6,-,-,37,8
S00088986,131,15,13,13,2,2,1,2,1,-,73,9
S00088987,63,5,7,5,-,3,-,-,1,-,38,4
S00088988,67,13,2,4,-,1,-,1,-,1,44,1
S00088989,95,7,20,5,-,9,-,-,-,-,48,6
S00088990,107,10,12,9,-,3,-,5,-,1,56,11
S00088991,127,12,15,5,-,23,-,10,-,-,56,6
S00088992,541,55,75,107,6,4,-,12,-,11,236,35
S00088993,123,16,15,9,-,4,-,16,-,-,60,3
S00088994,57,6,7,3,-,2,-,-,-,-,33,6
S00088995,62,5,7,1,2,2,-,4,-,1,36,4
S00088996,102,22,8,8,-,1,-,6,-,-,54,3
S00088997,152,34,13,11,-,1,1,-,-,-,71,21
S00088998,126,20,31,8,1,-,-,6,-,-,53,7
S00088999,123,40,13,8,-,2,-,3,-,-,39,18
S00089000,120,24,11,5,2,2,-,-,-,-,71,5
S00089001,115,39,13,5,1,-,2,-,-,-,51,4
S00089002,135,25,21,15,3,1,1,4,-,-,57,8
S00089003,118,19,6,4,1,-,-,5,2,-,58,23
S00089004,97,21,19,13,-,1,-,-,-,-,40,3
S00089005,133,30,9,6,-,-,-,-,-,2,80,6
S00089006,104,21,8,9,-,-,-,5,-,-,51,10
S00089007,122,24,15,13,1,-,-,1,-,-,64,4
S00089008,73,16,3,-,-,3,-,-,-,1,48,2
S00089009,106,14,8,16,-,-,-,-,-,1,62,5
S00089010,129,16,18,5,-,-,-,-,-,-,76,14
S00089011,155,18,27,15,-,6,-,7,-,1,68,13
S00089012,117,22,15,5,-,-,-,12,-,2,60,1
S00089013,69,12,7,5,-,-,-,1,-,-,40,4
S00089014,117,16,15,2,-,5,-,3,-,-,69,7
S00089015,93,7,13,11,-,3,-,3,-,1,46,9
S00089016,90,11,12,8,2,3,-,-,-,2,48,4
S00089017,83,11,7,7,1,2,-,6,-,-,45,4
S00089018,148,29,18,12,1,1,-,2,-,1,73,11
S00089019,134,23,20,8,-,-,1,-,-,2,78,2
S00089020,79,10,19,7,-,1,-,1,-,3,34,4
S00089021,83,22,5,5,-,-,-,-,-,-,46,5
S00089022,96,21,12,5,-,4,-,1,-,-,50,3
S00089023,99,27,8,8,-,-,-,6,-,3,44,3
S00089024,65,11,7,8,-,1,-,1,1,-,31,5
S00089025,63,9,5,2,1,-,-,-,-,-,41,5
S00089026,67,13,7,3,-,-,-,-,-,-,39,5
S00089027,107,14,12,7,1,3,-,-,-,1,63,6
S00089028,78,15,7,2,-,2,1,3,-,-,44,4
S00089029,82,10,6,4,-,-,-,-,-,-,60,2
S00089030,66,7,4,1,-,1,-,1,-,-,49,3
S00089031,143,17,23,19,1,-,1,2,-,-,70,10
S00089032,84,19,8,6,-,1,-,10,-,-,37,3
S00089033,95,17,18,4,-,1,-,-,1,1,45,8
S00089034,58,13,4,1,-,2,-,3,-,1,30,4
S00089035,106,18,13,22,-,-,-,1,-,-,46,6
S00089036,67,8,16,4,1,3,-,2,-,-,30,3
S00089037,87,18,9,9,-,3,-,-,-,-,43,5
S00089038,58,3,15,5,-,3,-,1,-,1,26,4
S00089039,80,9,13,4,-,-,-,2,-,-,51,1
S00089040,91,6,23,5,-,-,-,5,-,-,51,1
S00089041,225,85,4,12,2,-,-,8,-,1,93,20
S00089042,68,7,17,6,-,-,-,3,-,-,33,2
S00089043,148,16,23,12,2,-,-,3,-,-,86,6
S00089044,71,20,4,7,1,-,-,-,-,-,34,5
S00089045,73,17,5,3,-,-,-,-,-,-,43,5
S00089046,248,64,18,16,-,-,1,4,-,1,126,18
S00089047,110,23,19,-,1,-,-,4,-,-,47,16
S00089048,91,29,19,3,-,-,-,-,-,1,36,3
S00089049,130,23,5,7,-,-,-,-,-,4,87,4
S00089050,108,21,9,6,1,-,-,-,-,1,61,9
S00089051,146,14,29,19,-,-,-,2,-,-,73,9
S00089052,148,29,7,16,2,-,-,-,-,-,87,7
S00089053,114,14,13,6,-,-,-,-,-,-,68,13
S00089054,76,10,23,5,-,-,-,3,-,-,32,3
S00089055,86,16,10,9,1,1,-,-,1,-,34,14
S00089056,71,10,18,3,-,-,-,-,-,1,35,4
S00089057,85,9,9,2,1,-,-,3,-,-,57,4
S00089058,96,10,25,8,-,1,-,1,-,1,42,8
S00089059,55,8,8,6,-,-,-,-,-,-,30,3
S00089060,61,5,20,5,-,-,1,-,-,-,24,6
S00089061,75,10,26,8,-,2,-,-,-,1,21,7
S00089062,53,8,5,4,1,1,-,1,-,-,30,3
S00089063,83,4,25,17,-,-,-,1,-,-,28,8
S00089064,84,19,11,8,3,-,-,1,-,-,39,3
S00089065,95,7,21,15,-,-,-,2,-,1,44,5
S00089066,64,9,11,2,-,-,-,-,-,1,41,-
S00089067,108,9,39,4,-,-,-,-,-,1,41,14
S00089068,73,17,11,11,-,2,-,-,-,-,28,4
S00089069,60,3,16,1,3,-,-,2,-,-,31,4
S00089070,127,8,28,10,-,3,-,2,-,-,63,13
S00089071,88,20,17,8,-,-,-,2,-,-,39,2
S00089072,113,10,25,22,-,-,-,-,-,-,51,5
S00089073,94,17,10,6,-,2,1,-,-,-,51,7
S00089074,145,16,23,12,1,3,-,3,-,-,76,11
S00089075,87,5,39,12,-,-,-,1,-,1,22,7
S00089076,113,26,14,7,-,-,-,2,-,-,61,3
S00089077,90,16,21,1,-,-,-,-,-,1,39,12
S00089078,52,12,7,1,-,-,-,-,-,-,24,8
S00089079,61,12,8,5,-,-,-,-,-,-,33,3
S00089080,100,9,18,-,-,-,-,6,-,-,61,6
S00089081,74,20,7,1,-,-,-,-,-,1,37,8
S00089082,82,15,17,3,-,-,-,-,-,2,45,-
S00089083,120,17,9,-,-,-,1,-,-,-,80,13
S00089084,100,35,1,6,-,-,-,-,-,-,52,6
S00089085,121,22,11,2,-,-,-,-,-,-,70,16
S00089086,100,33,2,1,-,-,-,1,-,-,59,4
S00089087,141,35,12,8,-,-,3,-,-,1,68,14
S00089088,93,17,17,2,-,-,-,-,-,-,56,1
S00089089,110,12,11,2,-,-,-,-,-,1,72,12
S00089090,126,15,7,11,-,-,-,-,-,-,82,11
S00089091,150,15,10,-,2,-,-,5,-,-,112,6
S00089092,171,14,16,4,-,3,-,1,-,-,129,4
S00089093,166,23,28,3,1,-,-,5,-,-,101,5
S00089094,90,13,21,-,-,-,-,-,-,-,54,2
S00089095,119,17,19,7,-,-,-,-,-,-,72,4
S00089096,97,9,16,3,-,1,-,-,-,-,61,7
S00089097,83,8,7,4,-,-,-,-,-,-,54,10
S00089098,82,6,14,3,-,-,-,-,-,-,48,11
S00089099,120,6,14,9,-,-,-,3,1,-,79,8
S00089100,101,31,11,6,-,-,-,-,-,-,42,11
S00089101,75,5,9,8,-,1,-,-,-,-,49,3
S00089102,86,6,27,3,1,1,-,1,-,-,42,5
S00089103,89,15,24,3,-,-,-,-,-,-,40,7
S00089104,67,17,5,3,-,-,-,-,-,-,39,3
S00089105,96,22,7,1,-,-,-,-,-,1,58,7
S00089106,89,19,10,4,-,-,-,3,-,-,47,6
S00089107,82,21,11,2,-,1,-,-,-,-,42,5
S00089108,92,16,11,5,-,-,-,-,-,-,56,4
S00089109,60,10,19,1,-,-,-,1,-,-,28,1
S00089110,109,26,13,-,-,-,-,1,-,-,65,4
S00089111,147,28,19,1,-,-,-,-,-,3,78,18
S00089112,151,13,41,6,-,-,-,-,-,-,76,15
S00089113,64,22,2,4,-,-,-,-,-,-,30,6
S00089114,117,17,6,1,-,-,1,-,-,-,78,14
S00089115,154,27,18,15,-,-,-,-,-,2,85,7
S00089116,206,12,30,10,1,-,-,-,-,-,143,10
S00089117,125,11,16,4,-,-,-,-,-,-,77,17
S00089118,145,42,14,-,-,-,-,-,-,-,80,9
S00089119,87,26,3,5,-,-,-,-,-,1,45,7
S00089120,77,28,3,7,-,-,-,-,-,-,28,11
S00089121,173,45,16,13,1,2,-,-,-,1,58,37
S00089122,65,10,4,1,-,-,-,-,-,-,45,5
S00089123,151,27,1,6,-,-,-,-,-,1,109,7
S00089124,105,19,1,10,-,-,-,-,-,-,70,5
S00089125,164,34,2,2,-,3,-,4,-,-,106,13
S00089126,116,15,14,3,-,-,-,-,-,-,80,4
