oa_code,All people,Very good health,Good health,Fair health,Bad health,Very bad health
S92000003,"5,295,403","2,778,481","1,575,000","644,881","226,154","70,887"
S00088956,230,180,37,9,3,1
S00088957,66,35,25,4,2,-
S00088958,90,70,19,1,-,-
S00088959,83,56,21,5,1,-
S00088960,68,49,16,3,-,-
S00088961,217,86,94,32,5,-
S00088962,86,66,15,3,1,1
S00088963,89,58,21,8,1,1
S00088964,88,54,29,5,-,-
S00088965,144,83,40,17,4,-
S00088966,120,77,31,10,1,1
S00088967,52,36,11,3,2,-
S00088968,56,32,19,3,-,2
S00088969,154,96,46,11,1,-
S00088970,105,72,28,4,1,-
S00088971,78,57,14,7,-,-
S00088972,129,86,39,4,-,-
S00088973,144,61,53,26,3,1
S00088974,120,44,53,12,10,1
S00088975,77,51,17,8,-,1
S00088976,69,48,15,5,1,-
S00088977,60,42,17,-,-,1
S00088978,60,39,17,4,-,-
S00088979,85,51,26,7,-,1
S00088980,66,36,19,6,5,-
S00088981,57,26,14,11,4,2
S00088982,66,42,16,7,1,-
S00088983,65,16,25,17,6,1
S00088984,55,12,22,10,5,6
S00088985,80,45,23,11,1,-
S00088986,131,95,30,3,1,2
S00088987,63,35,22,3,3,-
S00088988,67,21,27,12,6,1
S00088989,95,51,38,6,-,-
S00088990,107,59,37,7,3,1
S00088991,127,81,31,13,-,2
S00088992,541,298,170,49,19,5
S00088993,123,77,37,7,2,-
S00088994,57,32,20,4,1,-
S00088995,62,42,19,1,-,-
S00088996,102,56,26,15,3,2
S00088997,152,103,37,11,1,-
S00088998,126,99,24,3,-,-
S00088999,123,75,41,6,1,-
S00089000,120,80,33,5,2,-
S00089001,115,59,39,13,1,3
S00089002,135,94,30,5,5,1
S00089003,118,64,21,26,5,2
S00089004,97,71,20,5,1,-
S00089005,133,75,46,7,2,3
S00089006,104,79,19,4,2,-
S00089007,122,89,28,5,-,-
S00089008,73,56,16,1,-,-
S00089009,106,87,14,4,1,-
S00089010,129,81,41,4,3,-
S00089011,155,96,45,11,3,-
S00089012,117,69,39,7,2,-
S00089013,69,52,13,4,-,-
S00089014,117,82,31,2,2,-
S00089015,93,72,21,-,-,-
S00089016,90,51,28,7,3,1
S00089017,83,58,20,5,-,-
S00089018,148,82,50,16,-,-
S00089019,134,83,38,9,3,1
S00089020,79,57,18,3,1,-
S00089021,83,49,25,9,-,-
S00089022,96,50,31,11,4,-
S00089023,99,63,27,7,2,-
S00089024,65,37,20,7,1,-
S00089025,63,39,14,7,2,1
S00089026,67,50,16,1,-,-
S00089027,107,62,36,6,3,-
S00089028,78,44,32,2,-,-
S00089029,82,49,24,6,2,1
S00089030,66,47,18,-,1,-
S00089031,143,104,33,6,-,-
S00089032,84,49,25,8,1,1
S00089033,95,58,22,8,4,3
S00089034,58,37,15,4,2,-
S00089035,106,74,20,8,3,1
S00089036,67,39,22,4,1,1
S00089037,87,60,21,6,-,-
S00089038,58,31,19,7,1,-
S00089039,80,42,25,13,-,-
S00089040,91,51,29,7,3,1
S00089041,225,72,49,91,8,5
S00089042,68,23,28,12,3,2
S00089043,148,64,59,14,8,3
S00089044,71,30,30,7,3,1
S00089045,73,30,23,18,2,-
S00089046,248,98,94,44,9,3
S00089047,110,50,45,11,2,2
S00089048,91,39,37,12,3,-
S00089049,130,70,36,14,5,5
S00089050,108,48,36,19,2,3
S00089051,146,70,57,10,6,3
S00089052,148,63,62,17,4,2
S00089053,114,46,41,20,5,2
S00089054,76,38,33,3,2,-
S00089055,86,38,30,12,5,1
S00089056,71,41,25,5,-,-
S00089057,85,39,26,13,7,-
S00089058,96,28,49,13,3,3
S00089059,55,25,15,13,2,-
S00089060,61,33,18,9,-,1
S00089061,75,43,26,5,1,-
S00089062,53,19,25,5,3,1
S00089063,83,56,24,2,1,-
S00089064,84,39,27,15,3,-
S00089065,95,44,31,13,7,-
S00089066,64,20,30,10,4,-
S00089067,108,50,37,16,5,-
S00089068,73,36,30,5,2,-
S00089069,60,30,20,8,2,-
S00089070,127,65,49,8,4,1
S00089071,88,32,28,20,5,3
S00089072,113,49,47,12,5,-
S00089073,94,39,39,12,3,1
S00089074,145,68,62,12,3,-
S00089075,87,53,24,8,2,-
S00089076,113,41,44,20,6,2
S00089077,90,45,31,9,4,1
S00089078,52,19,16,10,6,1
S00089079,61,23,27,5,5,1
S00089080,100,56,25,12,7,-
S00089081,74,19,31,17,6,1
S00089082,82,39,18,15,7,3
S00089083,120,49,43,17,9,2
S00089084,100,48,34,12,5,1
S00089085,121,62,34,21,3,1
S00089086,100,47,30,17,6,-
S00089087,141,52,67,13,6,3
S00089088,93,39,34,16,4,-
S00089089,110,70,26,8,4,2
S00089090,126,62,47,14,2,1
S00089091,150,78,54,12,6,-
S00089092,171,101,47,17,5,1
S00089093,166,69,62,21,13,1
S00089094,90,45,22,13,7,3
S00089095,119,73,29,11,3,3
S00089096,97,55,27,8,5,2
S00089097,83,33,28,16,5,1
S00089098,82,45,24,10,3,-
S00089099,120,61,43,14,2,-
S00089100,101,45,35,17,4,-
S00089101,75,41,20,10,4,-
S00089102,86,41,35,5,3,2
S00089103,89,31,36,20,2,-
S00089104,67,30,24,12,1,-
S00089105,96,42,39,14,1,-
S00089106,89,37,28,16,8,-
S00089107,82,35,39,8,-,-
S00089108,92,45,37,7,3,-
S00089109,60,34,18,6,-,2
S00089110,109,39,42,23,5,-
S00089111,147,76,51,15,3,2
S00089112,151,54,55,33,7,2
S00089113,64,4,14,24,19,3
S00089114,117,60,32,17,7,1
S00089115,154,79,39,26,9,1
S00089116,206,107,78,15,5,1
S00089117,125,50,46,19,8,2
S00089118,145,85,46,11,3,-
S00089119,87,50,23,12,2,-
S00089120,77,37,29,11,-,-
S00089121,173,49,75,39,7,3
S00089122,65,25,16,15,7,2
S00089123,151,61,53,29,7,1
S00089124,105,54,27,17,4,3
S00089125,164,78,58,20,6,2
S00089126,116,47,48,13,5,3
S00089127,93,29,34,20,8,2
S00089128,97,51,31,10,3,2
S00089129,197,145,41,7,2,2
S00089130,93,57,19,14,-,3
S00089131,102,52,32,13,4,1
S00089132,87,46,32,7,2,-
S00089133,87,37,32,12,4,2
S00089134,129,51,44,26,4,4
S00089135,144,71,58,14,-,1
S00089136,112,62,31,17,2,-
S00089137,109,56,31,18,3,1
S00089138,55,2,14,23,15,1
S00089139,86,41,29,7,8,1
S00089140,100,49,35,13,2,1
S00089141,120,64,44,11,-,1
S00089142,137,64,50,17,5,1
S00089143,105,41,48,12,3,1
S00089144,91,42,26,16,6,1
S00089145,127,51,47,19,8,2
S00089146,117,60,38,10,6,3
S00089147,96,54,20,15,7,-
S00089148,123,64,40,15,3,1
S00089149,124,76,28,16,3,1
S00089150,151,57,58,23,10,3
S00089151,61,24,18,15,4,-
S00089152,54,9,24,11,8,2
S00089153,63,11,32,15,5,-
S00089154,72,25,29,15,2,1
S00089155,84,22,41,14,3,4
S00089156,129,34,54,24,5,12
S00089157,105,51,29,16,7,2
S00089158,136,68,49,17,1,1
S00089159,90,50,18,12,6,4
S00089160,112,46,44,16,5,1
S00089161,95,44,27,17,5,2
S00089162,77,29,31,13,3,1
S00089163,115,49,48,13,2,3
S00089164,78,33,20,19,5,1
S00089165,105,54,33,14,4,-
S00089166,150,77,46,18,9,-
S00089167,107,49,41,12,5,-
S00089168,64,7,12,28,13,4
S00089169,117,49,51,15,2,-
S00089170,90,47,25,11,7,-
S00089171,74,25,30,10,7,2
S00089172,64,29,21,9,5,-
S00089173,139,70,41,21,4,3
S00089174,161,63,60,23,10,5
S00089175,124,65,38,12,6,3
S00089176,102,48,43,10,-,1
S00089177,129,56,51,13,5,4
S00089178,149,81,43,19,5,1
S00089179,172,78,65,25,4,-
S00089180,134,70,41,19,3,1
S00089181,101,38,43,14,4,2
S00089182,114,60,38,13,2,1
S00089183,98,48,33,12,5,-
S00089184,137,93,35,8,1,-
S00089185,136,87,40,6,2,1
S00089186,114,77,30,4,1,2
S00089187,67,42,19,5,1,-
S00089188,146,85,49,12,-,-
S00089189,152,88,50,12,1,1
S00089190,113,75,30,5,3,-
S00089191,137,88,33,14,2,-
S00089192,111,77,33,1,-,-
S00089193,132,93,33,5,1,-
S00089194,153,86,35,18,12,2
S00089195,135,82,45,7,1,-
S00089196,119,83,29,6,1,-
S00089197,116,76,34,6,-,-
S00089198,83,49,24,10,-,-
S00089199,100,62,30,6,2,-
S00089200,69,43,19,5,1,1
S00089201,98,69,21,8,-,-
S00089202,152,103,39,6,4,-
S00089203,214,146,46,18,3,1
S00089204,149,113,26,7,3,-
S00089205,117,76,27,12,1,1
S00089206,122,72,35,12,2,1
S00089207,100,67,18,10,5,-
S00089208,76,38,32,5,-,1
S00089209,73,40,27,5,1,-
S00089210,76,45,24,6,1,-
S00089211,71,38,24,6,1,2
S00089212,106,68,32,5,1,-
S00089213,68,49,11,7,1,-
S00089214,61,33,22,6,-,-
S00089215,67,34,26,6,-,1
S00089216,97,60,29,7,-,1
S00089217,79,51,21,5,2,-
S00089218,126,75,39,8,4,-
S00089219,84,52,22,8,2,-
S00089220,60,48,12,-,-,-
S00089221,146,84,48,11,3,-
S00089222,89,61,23,2,3,-
S00089223,70,33,24,8,5,-
S00089224,191,73,81,31,6,-
S00089225,58,39,14,3,2,-
S00089226,57,36,19,2,-,-
S00089227,128,73,37,15,3,-
S00089228,95,63,29,3,-,-
S00089229,97,57,36,2,1,1
S00089230,100,55,29,10,2,4
S00089231,87,54,26,5,1,1
S00089232,93,67,23,3,-,-
S00089233,80,57,21,2,-,-
