oa_code,All occupied household spaces,No central heating,Gas central heating,Electric (including storage heaters) central heating,Oil central heating,Solid fuel (for example wood coal) central heating,Other central heating,Two or more types of central heating
S92000003,2372777,54965,1761431,317831,135223,26209,16608,60510
S00088956,74,1,69,1,2,0,1,0
S00088957,26,0,9,1,12,0,1,3
S00088958,27,0,27,0,0,0,0,0
S00088959,32,0,9,3,18,1,1,0
S00088960,23,0,18,2,2,0,0,1
S00088961,22,0,15,2,4,0,1,0
S00088962,26,1,14,1,8,0,0,2
S00088963,33,0,19,2,9,2,1,0
S00088964,33,0,31,0,1,0,0,1
S00088965,58,3,12,6,25,5,5,2
S00088966,50,2,12,3,21,1,0,11
S00088967,22,1,2,1,13,4,1,0
S00088968,21,2,7,2,7,2,0,1
S00088969,56,1,17,3,24,3,2,6
S00088970,48,0,40,5,1,0,0,2
S00088971,41,1,35,2,0,0,0,3
S00088972,75,10,49,16,0,0,0,0
S00088973,71,6,5,59,0,0,0,1
S00088974,59,1,46,11,0,0,0,1
S00088975,39,0,33,6,0,0,0,0
S00088976,45,2,23,19,0,0,0,1
S00088977,40,3,27,9,0,0,0,1
S00088978,33,0,25,4,1,0,0,3
S00088979,49,1,37,8,0,0,1,2
S00088980,45,4,15,26,0,0,0,0
S00088981,43,2,31,4,0,0,1,5
S00088982,39,3,27,9,0,0,0,0
S00088983,44,0,39,2,0,0,0,3
S00088984,44,2,37,4,1,0,0,0
S00088985,50,6,38,6,0,0,0,0
S00088986,77,4,31,40,0,0,0,2
S00088987,37,6,14,17,0,0,0,0
S00088988,57,2,47,3,0,0,0,5
S00088989,51,3,31,13,1,0,0,3
S00088990,63,9,25,25,0,0,1,3
S00088991,81,10,10,60,0,0,0,1
S00088992,72,1,40,26,0,0,3,2
S00088993,61,0,44,15,0,0,0,2
S00088994,34,3,4,27,0,0,0,0
S00088995,36,9,10,17,0,0,0,0
S00088996,41,1,31,8,0,0,1,0
S00088997,67,0,64,1,0,0,0,2
S00088998,57,0,39,15,0,0,1,2
S00088999,54,0,49,2,0,0,0,3
S00089000,89,6,67,13,0,0,0,3
S00089001,55,0,52,0,0,0,0,3
S00089002,53,0,50,2,1,0,0,0
S00089003,43,0,20,22,0,0,0,1
S00089004,51,0,46,2,0,0,0,3
S00089005,56,0,54,2,0,0,0,0
S00089006,42,0,40,1,0,0,0,1
S00089007,62,5,53,3,0,0,0,1
S00089008,48,0,47,1,0,0,0,0
S00089009,61,3,41,15,0,0,0,2
S00089010,67,2,50,14,0,0,0,1
S00089011,86,3,71,7,0,0,0,5
S00089012,61,1,48,10,0,0,0,2
S00089013,41,3,34,4,0,0,0,0
S00089014,67,1,63,2,0,0,0,1
S00089015,54,0,51,0,0,0,0,3
S00089016,54,6,37,11,0,0,0,0
S00089017,50,0,49,0,0,0,0,1
S00089018,54,3,47,4,0,0,0,0
S00089019,70,0,67,3,0,0,0,0
S00089020,48,4,41,1,0,0,0,2
S00089021,45,1,40,4,0,0,0,0
S00089022,52,6,34,8,0,0,0,4
S00089023,48,1,42,4,0,0,0,1
S00089024,47,4,35,6,0,0,0,2
S00089025,48,7,32,3,0,0,0,6
S00089026,44,3,33,6,0,0,0,2
S00089027,71,10,43,15,0,0,0,3
S00089028,59,3,40,14,0,0,0,2
S00089029,59,7,37,13,0,0,0,2
S00089030,48,2,38,7,0,0,1,0
S00089031,80,1,66,13,0,0,0,0
S00089032,30,5,17,6,0,0,0,2
S00089033,51,6,37,6,0,0,0,2
S00089034,34,5,24,2,0,1,0,2
S00089035,73,1,64,6,0,0,0,2
S00089036,39,7,25,7,0,0,0,0
S00089037,54,2,40,11,0,0,0,1
S00089038,39,17,2,19,0,0,1,0
S00089039,44,11,9,24,0,0,0,0
S00089040,39,0,37,2,0,0,0,0
S00089041,70,1,55,10,0,1,0,3
S00089042,28,1,27,0,0,0,0,0
S00089043,59,0,58,0,0,0,0,1
S00089044,34,0,30,2,0,0,1,1
S00089045,36,2,33,0,0,0,0,1
S00089046,43,2,38,3,0,0,0,0
S00089047,52,0,49,1,0,0,0,2
S00089048,46,0,45,1,0,0,0,0
S00089049,53,1,48,4,0,0,0,0
S00089050,48,0,46,1,0,0,0,1
S00089051,71,0,62,8,0,0,0,1
S00089052,70,0,63,4,0,1,0,2
S00089053,68,11,46,9,0,0,0,2
S00089054,48,5,34,6,0,0,0,3
S00089055,57,9,35,10,0,0,0,3
S00089056,50,10,31,9,0,0,0,0
S00089057,57,5,45,5,0,0,0,2
S00089058,70,5,44,19,0,1,0,1
S00089059,39,4,22,11,0,0,0,2
S00089060,38,3,22,13,0,0,0,0
S00089061,41,2,30,8,0,0,0,1
S00089062,32,7,14,10,0,0,0,1
S00089063,48,4,32,11,0,0,0,1
S00089064,55,7,33,14,0,0,0,1
S00089065,67,18,33,15,0,0,0,1
S00089066,39,6,26,7,0,0,0,0
S00089067,52,1,27,22,0,0,0,2
S00089068,42,7,25,8,0,0,0,2
S00089069,32,3,24,3,0,0,0,2
S00089070,71,8,39,21,0,0,0,3
