oa_zones,All people aged 16 and over: Total,All people aged 16 and over: No qualifications,All people aged 16 and over: Level 1,All people aged 16 and over: Level 2,All people aged 16 and over: Level 3,All people aged 16 and over: Level 4 and above
S00088956,159,15,33,16,23,72
S00088957,58,12,16,8,1,21
S00088958,60,3,8,4,2,43
S00088959,63,6,14,8,5,30
S00088960,55,2,10,3,5,35
S00088961,184,73,22,16,14,59
S00088962,59,4,8,7,1,39
S00088963,68,11,16,10,4,27
S00088964,74,6,10,14,8,36
S00088965,119,16,35,15,16,37
S00088966,93,19,21,10,13,30
S00088967,48,8,11,6,5,18
S00088968,48,10,10,7,5,16
S00088969,126,18,34,34,13,27
S00088970,94,4,4,14,10,62
S00088971,65,7,10,7,3,38
S00088972,119,8,17,21,13,60
S00088973,124,47,27,10,14,26
S00088974,104,42,24,15,9,14
S00088975,67,8,10,18,6,25
S00088976,67,6,13,10,10,28
S00088977,60,5,9,11,6,29
S00088978,55,3,7,19,3,23
S00088979,81,4,8,11,11,47
S00088980,65,9,9,8,6,33
S00088981,55,6,9,9,7,24
S00088982,65,8,8,6,5,38
S00088983,62,25,11,7,11,8
S00088984,55,20,9,10,4,12
S00088985,76,4,13,11,6,42
S00088986,130,3,27,28,14,58
S00088987,63,1,9,18,15,20
S00088988,63,17,14,10,6,16
S00088989,87,10,8,24,16,29
S00088990,103,13,11,15,11,53
S00088991,120,7,11,19,18,65
S00088992,538,49,78,278,30,103
S00088993,101,5,17,22,18,39
S00088994,53,5,8,11,7,22
S00088995,60,0,8,12,10,30
S00088996,88,24,22,17,9,16
S00088997,127,3,13,19,14,78
S00088998,99,4,5,7,11,72
S00088999,102,13,7,21,7,54
S00089000,118,7,13,12,10,76
S00089001,103,22,21,12,15,33
S00089002,103,6,14,10,9,64
S00089003,106,14,4,11,18,59
S00089004,80,3,9,6,10,52
S00089005,108,8,17,12,5,66
S00089006,82,7,9,9,4,53
S00089007,107,2,18,11,17,59
S00089008,72,1,11,10,13,37
S00089009,98,0,15,13,12,58
S00089010,112,9,16,14,14,59
S00089011,145,21,16,26,14,68
S00089012,106,10,19,15,13,49
S00089013,65,5,7,11,6,36
S00089014,110,2,18,26,13,51
S00089015,88,1,3,9,14,61
S00089016,86,6,18,8,15,39
S00089017,81,2,6,8,12,53
S00089018,123,16,19,16,13,59
S00089019,121,13,16,10,6,76
S00089020,73,10,6,10,8,39
S00089021,72,3,8,8,7,46
S00089022,92,16,18,11,10,37
S00089023,87,16,16,11,12,32
S00089024,64,3,10,12,5,34
